evidence_id,run_id,url_id,evidence_type,path_or_url,capture_date_utc,hash,archive_status,reviewer,notes
EV-E001,SEO-LIVE-001,E001,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E001_guardian-2009-05-10.html,2026-05-22T07:48:35Z,736ecf068f0c3d0a2e9a5675036ed7dd2f2bdbbb689a78f23f353daefb5ec14c,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E002,SEO-LIVE-001,E002,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E002_guardian-2009-05-12.html,2026-05-22T07:48:35Z,26286356764af21c417381fe7bfec3476031932ba0cded65f917c5e60df3fb25,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E003,SEO-LIVE-001,E003,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E003_guardian-2009-05-17.html,2026-05-22T07:48:35Z,691c5b06bc87f364812625815b9d54c1b3a34a5659b7eb6bb0d70ac90f58e5fd,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E004,SEO-LIVE-001,E004,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E004_guardian-2009-05-19.html,2026-05-22T07:48:35Z,4bf6811c9fcf05d05fada250d14e40adfe558a9c1277c5077e90dd3f753580a9,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E005,SEO-LIVE-001,E005,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E005_guardian-2009-05-29.html,2026-05-22T07:48:35Z,d8b758a3b23739268d04f7193d7efcbe3c951c3da9579dcc84dd331a0623d997,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E006,SEO-LIVE-001,E006,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E006_guardian-2009-06-04.html,2026-05-22T07:48:35Z,ece8e0a0f0b9061f3c913f7469ba05090e5b4e5de7388d8ef42871a0a995ed7c,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E007,SEO-LIVE-001,E007,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E007_amnesty-2024-05-18.html,2026-05-22T07:48:35Z,937ce634841ef5150c5ccccdc3b9d2fd82be9c4c6272c2a99938eca245c5569b,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E008,SEO-LIVE-001,E008,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E008_oisl-2015.pdf,2026-05-22T07:48:35Z,e9845e3e6e7f916f4d6a9994002b91003a3b78106edc89a530f1c9f45a26a91e,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E009,SEO-LIVE-001,E009,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E009_wikipedia-mullivaikkal-massacre.html,2026-05-22T07:48:35Z,b71e522169dc1801df3803118b5f1fc3b2c0f71b393f5592f49f6b9d5bd23ea8,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E010,SEO-LIVE-001,E010,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E010_wikipedia-tamil-genocide.html,2026-05-22T07:48:35Z,ec53a18e503691c22dc2138309520b0f6311363214b5ec8cbfddc7ec0df8dda4,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E011,SEO-LIVE-001,E011,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E011_dbpedia-mullivaikkal-massacre.html,2026-05-22T07:48:35Z,79de9c8a8b58f9e2755e6e97fd153b2ab4b652316dc860038d8fdd3f0eb4d723,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.
EV-E012,SEO-LIVE-001,E012,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-001/E012_wiki2-mullivaikkal-massacre.html,2026-05-22T07:48:35Z,61e9928186ed6868738dc7295d972244cd4f4afd05ac42e120764b3e32a17c73,local_fetched,research-desk,Fetched live page evidence for the first crawl batch.

EV-E013,SEO-LIVE-002,E013,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E013_hrw-2024-05-14.html,2026-05-22T07:59:45.576Z,ab486e735046f99a1963a3ee5fe018855e19a94d15b03f92b6d70346e3a583db,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S009).
EV-E014,SEO-LIVE-002,E014,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E014_icg-war-crimes-sri-lanka.pdf,2026-05-22T07:59:45.576Z,4ac17817977eadb85ed4705913fc9cdc33c85726180deb04874c25610d323732,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S005).
EV-E015,SEO-LIVE-002,E015,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E015_llrc-final-report.pdf,2026-05-22T07:59:45.576Z,a9a9d253d7eda8d4ee340b8d07a1fe6fc0a9f49bf5bcfaf1728651f766dc99ba,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S019).
EV-E016,SEO-LIVE-002,E016,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E016_paranagama-second-mandate.pdf,2026-05-22T07:59:45.576Z,ab22e3e28c3df72c0796cb12d828bb1fe5e098e07b7e1d525a3498668b21fa2e,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S013).
EV-E017,SEO-LIVE-002,E017,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E017_lord-naseby-hansard-2017.html,2026-05-22T07:59:45.576Z,6253e5f9ba241ba70f38a3bc7d3e7914b740a714e839b65eda3a6a55522c3ebf,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S014).
EV-E018,SEO-LIVE-002,E018,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E018_dcs-eve-2011.pdf,2026-05-22T07:59:45.576Z,3c764d3f9ada4b92ea2d50a6c96d4f32982e80074c9c879b9a9e4f10ef4e64b1,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S007).
EV-E019,SEO-LIVE-002,E019,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E019_icrc-vanni-case-study.html,2026-05-22T07:59:45.576Z,85cdf7ff44be9fe814559c7de91905d53abad1130d644d28a7d23e1cba4b5922,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S021).
EV-E020,SEO-LIVE-002,E020,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E020_hrw-besieged-displaced-detained.html,2026-05-22T07:59:45.576Z,7bdf34896a2ade7de7bfd34a0078f515bd217d35f52dd0d50b4afecd44f04b3b,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S027).
EV-E021,SEO-LIVE-002,E021,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E021_hrw-war-on-the-displaced.html,2026-05-22T07:59:45.576Z,defff765ff4b05ee01bd27dc33ad1e986feeef651ba640f8f22089f2a3ccfbd0,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S028).
EV-E022,SEO-LIVE-002,E022,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E022_amnesty-civilians-under-attack-2009.html,2026-05-22T07:59:45.576Z,ca13a976e4f3f03949bb0a4cb760c8a50fcca4ff9062aa7be188bd9409aed575,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S029).
EV-E023,SEO-LIVE-002,E023,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E023_itjp-death-toll-brief.pdf,2026-05-22T07:59:45.576Z,488b101982a6ad5c6407af09dccfc89df7d4a6aec8a07fa972847f328cafb35d,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S017).
EV-E024,SEO-LIVE-002,E024,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E024_pearl-irs-990.html,2026-05-22T07:59:45.576Z,18f8d3af61d3a439da008930f45b99ab7924987754a61eadbba67b32cff19807,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (FUND-N001).
EV-E025,SEO-LIVE-002,E025,fetched_html,,2026-05-22T07:59:45.576Z,,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (SEO-N027).
EV-E026,SEO-LIVE-002,E026,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E026_scottish-motion-s6m-19300.html,2026-05-22T07:59:45.576Z,9b29c897aefb8efe4c07e97b4ec8d8db5db0e6208822804cf1b424150356c6da,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (SEO-N066).
EV-E027,SEO-LIVE-002,E027,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E027_ohchr-enforced-disappearances-2024.pdf,2026-05-22T07:59:45.576Z,ce532ed5e1313c7a4f74d1627991852433deec48e6e67290bad3ec2d48c3b494,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S030).

EV-E028,SEO-LIVE-003,E028,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E028_pearl-genocide-legal-brief.html,2026-05-22T08:15:58.928Z,1dbfdd28b6b6e69a5a1fb9e35bc07b98ce9154eafa6e34ac7f5bd00ac95c4552,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N020).
EV-E029,SEO-LIVE-003,E029,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E029_genocide-against-tamils-mullivaikkal.html,2026-05-22T08:15:58.928Z,fa9f547e818580f5a61d39be6a00e7b173d06eac6b8ee23b2e8641afae1d08a2,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N022).
EV-E030,SEO-LIVE-003,E030,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E030_tamil-conferences-declaration.html,2026-05-22T08:15:58.928Z,6ab05556e9765bdb6b914a6f4bb95e81b77141de5001cc22a07d04d25cbdf8f6,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N023).
EV-E031,SEO-LIVE-003,E031,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E031_tamil-guardian-remembrance-2026.html,2026-05-22T08:15:58.928Z,4200f4caa495759a5a7ee62f3504b93f066501bb2367fdbdb7191a0d8a9dc04a,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N024).
EV-E032,SEO-LIVE-003,E032,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E032_groundviews-counter-lane-2014.html,2026-05-22T08:15:58.928Z,c21bb3723c9f76f2da5600ef7552b8fd55c7b42938e6121193dfd5daca1c5aaf,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N025).
EV-E033,SEO-LIVE-003,E033,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E033_groundviews-reflection-2026.html,2026-05-22T08:15:58.928Z,23ff8b25b55cb6d8a2bec2d1f1fb5b995026e09ad91b391b5534be3c111a8846,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N026).
EV-E034,SEO-LIVE-003,E034,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E034_global-tamil-forum-about.html,2026-05-22T08:15:58.928Z,db8b91b6dd7b864a9f928987ebc811edcaacb09a5ab63f72717d1c3a2471a43b,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N031).
EV-E035,SEO-LIVE-003,E035,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E035_btf-company-route.html,2026-05-22T08:15:58.928Z,45f6ad9f80f22c7e51f1a64ac2aade9942e5193e91877260cacedcec455f3b85,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N032).
EV-E036,SEO-LIVE-003,E036,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E036_tgte-canada-corporation.html,2026-05-22T08:15:58.928Z,16c5319b88d70fb61705f67a41bd5a163af55493fb775de9d82df40c2d65cb14,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N033).
EV-E037,SEO-LIVE-003,E037,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E037_sri-lanka-brief-dead-missing.html,2026-05-22T08:15:58.928Z,db2bbc7d8a5fa3c5aae4a388b99aa7535a0b5d6492003b9872e50260e06fce94,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N037).
EV-E038,SEO-LIVE-003,E038,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E038_the-diplomat-2020-remembrance.html,2026-05-22T08:15:58.928Z,f0d35ef99281b716c5d71168011972b6bbac834acd9b47b123f8b72ff7e7834f,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N038).
EV-E039,SEO-LIVE-003,E039,fetched_html,,2026-05-22T08:15:58.928Z,,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N039).
EV-E040,SEO-LIVE-003,E040,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E040_pearl-2021-remembrance.html,2026-05-22T08:15:58.928Z,f451ff540b9cbc51b1de6361451d7b8619945b0f3b7b6c4483620d2664f6ec93,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N040).
EV-E041,SEO-LIVE-003,E041,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E041_pearl-2024-justice-for-genocide.pdf,2026-05-22T08:15:58.928Z,25e2af24ef64aa4a98ee38dcd7a1ccb828e98c9f96459667000db3d8b9ebf46b,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N041).
EV-E042,SEO-LIVE-003,E042,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E042_basement-films-killing-fields.html,2026-05-22T08:15:58.928Z,07d7704306ab588f0f5e18a8641cbbe9eb181002ad800a9656179761b0f40248,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N047).
EV-E043,SEO-LIVE-003,E043,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E043_ilankai-tamil-sangam-amnesty-repost.html,2026-05-22T08:15:58.928Z,cedf0af56db2989b41f4a873a817489423e059613935c355ebec4e91f68117d6,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N048).
